UsernameCommaCount, Username,Classes,Types,Grades

Enter username,0,
hello,0,
hello,0,
nameshoew,0,
Enter ghser name,0,
ShouldEqual,0,
ShouldEqual,0,
hello,0,
ShouldEqual,0,
ShouldEqual,0,
ShouldEqual,0,
ShouldEqual,0,
ShouldEqual,0,
ShouldEqual,0,
ShouldEqual,0,
ShouldEqual,0,
ShouldEqual,0,
ShouldEqual,0,
ShouldEqual,0,
ShouldEqual,0,
testing,0,
testing,0,
testing,0,
ev,0,
ShouldEqual,0,
ShouldEqual,0,
testing,0,
testing,0,
testing,0,
nonexistent,0,
testing,0,
usern,0,
hfiehfeso,0,
ncehciwhc,0,
hello,0,
